№ п/п,Наименование / ФИО,Тип субъекта,Категория,ОГРН,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Вновь созданный,Дата включения в реестр,Дата исключения из реестра,Телефон,E-mail,WWW,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Участие в программах партнерства,Является социальным предприятием,Среднесписочная численность работников за предшествующий календарный год
363918,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС-ЭНЕРГО""",Юридическое лицо,Малое предприятие,1088604000484,8604042801,41.20 Строительство жилых и нежилых зданий,86 - Ханты-Мансийский автономный округ - Югра,,г Нефтеюганск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,39.0
455934,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТВК-СЕРВИС""",Юридическое лицо,Малое предприятие,1127452006263,7452105731,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Челябинск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,1.0
65761,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЕНИЕ МЕХАНИЗАЦИИ №67""",Юридическое лицо,Среднее предприятие,1027801571885,7802031020,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.08.2017,,,,,Да,Нет,Нет,Нет,Нет,104.0
168226,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЗИС""",Юридическое лицо,Малое предприятие,1195275028706,5258145497,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,Нет,10.06.2019,,,,,Нет,Нет,Нет,Нет,Нет,4.0
299303,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАТОР""",Юридическое лицо,Малое предприятие,1205900008808,5904381599,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,г Пермь,,Нет,10.04.2020,,,,,Нет,Нет,Нет,Нет,Нет,3.0
346523,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕМСТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,1135476165813,5410781244,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,Нет,01.08.2016,,,,,Да,Нет,Нет,Нет,Нет,68.0
500883,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОСЕРВИС""",Юридическое лицо,Малое предприятие,1021606155757,1616004646,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),Арский р-н,г Арск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,17.0
5628,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТРОЙСПЕЦКОМПЛЕКТРЕСУРС""",Юридическое лицо,Малое предприятие,1027700580049,7728245263,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.08.2017,,,,,Да,Нет,Нет,Нет,Нет,5.0
299807,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВО-СТРОЙ""",Юридическое лицо,Малое предприятие,1120917001204,917020294,41.20 Строительство жилых и нежилых зданий,09 - Карачаево-Черкесская Республика,,г Черкесск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,17.0
414845,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ-52""",Юридическое лицо,Среднее предприятие,1037843016859,7825697459,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.07.2023,,,,,Да,Нет,Нет,Нет,Нет,205.0
524577,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА ""СКАТ""",Юридическое лицо,Малое предприятие,1035402448850,5406243684,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,20.0
457310,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОГАЗСЕРВИС""",Юридическое лицо,Малое предприятие,1167325063146,7327078738,41.20 Строительство жилых и нежилых зданий,73 - Ульяновская область,,г Ульяновск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,37.0
397270,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАНДАРТСТРОЙ""",Юридическое лицо,Малое предприятие,1183525023770,3525426884,41.20 Строительство жилых и нежилых зданий,35 - Вологодская область,,г Вологда,,Нет,10.07.2018,,,,,Нет,Нет,Нет,Нет,Нет,24.0
407993,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ГРАД""",Юридическое лицо,Малое предприятие,1176313089897,6315020668,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Самара,,Нет,10.11.2017,,,,,Нет,Нет,Нет,Нет,Нет,16.0
413918,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНО-ФИНАНСОВАЯ КОМПАНИЯ СУРГУТГАЗСТРОЙ""",Юридическое лицо,Малое предприятие,1028600580788,8602105076,41.20 Строительство жилых и нежилых зданий,86 - Ханты-Мансийский автономный округ - Югра,,г Сургут,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,8.0
445886,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙСПЕКТР""",Юридическое лицо,Малое предприятие,1186313005592,6324088609,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Тольятти,,Нет,10.02.2018,,,,,Нет,Нет,Нет,Нет,Нет,17.0
395246,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПС""",Юридическое лицо,Малое предприятие,1105476099332,5404427622,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,26.0
522844,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНО-МОНТАЖНЫЙ КОМПЛЕКС ""КАРКАС""",Юридическое лицо,Малое предприятие,1060277051966,277077194,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Уфа,,Нет,01.08.2016,,,,,Да,Нет,Нет,Нет,Нет,28.0
396462,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАЛЬСИСТЕМА""",Юридическое лицо,Малое предприятие,1167746614309,7724371147,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.08.2019,,8(495)1059108,office@stsist.ru,stsist.ru,Да,Нет,Нет,Нет,Нет,39.0
267105,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕСНЫЕ МАШИНЫ""",Юридическое лицо,Малое предприятие,1142468001697,2465305721,41.20 Строительство жилых и нежилых зданий,24 - Красноярский край,,г Красноярск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,54.0
260096,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРЕПСТРОЙ""",Юридическое лицо,Малое предприятие,1101435005484,1435229373,41.20 Строительство жилых и нежилых зданий,14 - Республика Саха (Якутия),,г Якутск,,Нет,01.08.2016,,,,,Да,Нет,Нет,Нет,Нет,21.0
5929,"АКЦИОНЕРНОЕ ОБЩЕСТВО СТРОИТЕЛЬНАЯ ФИРМА ""ТВЕРЬАГРОСТРОЙ""",Юридическое лицо,Малое предприятие,1026900517214,6905008053,41.20 Строительство жилых и нежилых зданий,69 - Тверская область,,г Тверь,,Нет,10.08.2017,,,,,Да,Нет,Нет,Нет,Нет,16.0
254860,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМФОРТСЕРВИС""",Юридическое лицо,Малое предприятие,1136684006007,6684011288,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Первоуральск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,59.0
182728,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕЛЕС""",Юридическое лицо,Малое предприятие,1044100642740,4101094997,41.20 Строительство жилых и нежилых зданий,41 - Камчатский край,,г Петропавловск-Камчатский,,Нет,01.08.2016,,,,,Да,Нет,Нет,Нет,Нет,19.0
180292,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕГА ГРУПП РЕГИОН""",Юридическое лицо,Малое предприятие,1086311007090,6311110198,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Самара,,Нет,01.08.2016,,,,,Да,Нет,Нет,Нет,Нет,30.0
504793,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГЕВРОСТРОЙ""",Юридическое лицо,Малое предприятие,1180917000439,917034120,41.20 Строительство жилых и нежилых зданий,09 - Карачаево-Черкесская Республика,,г Черкесск,,Нет,10.03.2018,,,,,Нет,Нет,Нет,Нет,Нет,8.0
247005,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСКАДТРАНССТРОЙ""",Юридическое лицо,Малое предприятие,1177746536373,9729089518,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.06.2017,,,,,Да,Нет,Нет,Нет,Нет,54.0
524417,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА ""ГЕФЕСТ-ЛТД""",Юридическое лицо,Малое предприятие,1027700163567,7733009889,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,4.0
255889,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСТРУКТИВ""",Юридическое лицо,Малое предприятие,1147017002758,7017347525,41.20 Строительство жилых и нежилых зданий,70 - Томская область,,г Томск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,63.0
444482,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,1022603024828,2623015143,41.20 Строительство жилых и нежилых зданий,26 - Ставропольский край,Шпаковский р-н,,с Верхнерусское,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,26.0
